name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Đà Nẵng, Việt Nam",2010-01-01,28,20.1,23.8,29.7,20.1,24.2,20.3,81.9,0,0,0,,,,,16.6,156.7,1013.6,67.5,8.3,196.9,16.3,7,,2010-01-01T06:14:51,2010-01-01T17:26:12,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-01-02,28.6,20,24.2,30.7,20,24.6,21.1,84.1,0,0,0,,,,,16.6,135.7,1013.5,58.2,7.4,227.9,19.6,8,,2010-01-02T06:15:13,2010-01-02T17:26:47,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-01-03,26.2,21,24.1,26.2,21,24.1,21.3,84.9,0.004,100,8.33,rain,,,,13,88.7,1014.4,82.3,6.3,221.8,19.4,8,,2010-01-03T06:15:33,2010-01-03T17:27:23,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-01-04,28.1,20.1,24.4,30.4,20.1,24.9,20.7,81,0,0,0,,,,,18.4,151,1011.9,69.1,7.8,231.1,19.8,8,,2010-01-04T06:15:53,2010-01-04T17:27:58,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-01-05,28.6,19.7,24.4,31,19.7,25,20.9,81.9,0,0,0,,,,,20.5,146.5,1011.3,58.5,7.6,222.6,19.1,8,,2010-01-05T06:16:11,2010-01-05T17:28:34,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-01-06,28,18.2,24.1,30.2,18.2,24.5,20.7,82.6,0,0,0,,,,,18.4,136.8,1013.5,46.6,8.5,231.1,19.8,8,,2010-01-06T06:16:29,2010-01-06T17:29:10,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-01-07,27.1,22.2,25.1,29,22.2,25.5,20.9,77.9,0.017,100,4.17,rain,,,,16.6,104.3,1015.8,59.8,8.5,224.3,19.3,8,,2010-01-07T06:16:45,2010-01-07T17:29:46,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-01-08,25.1,19.2,23.1,25.1,19.2,23.1,18.3,75.1,0.002,100,4.17,rain,,,,20.5,332.1,1015.9,80.7,8.8,195.2,16.8,8,,2010-01-08T06:17:01,2010-01-08T17:30:23,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-01-09,25.2,20,22.8,25.2,20,22.8,18.9,79.1,0.001,100,4.17,rain,,,,9.7,52.4,1014.7,87.7,8.1,194.8,16.9,8,,2010-01-09T06:17:15,2010-01-09T17:30:59,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-01-10,28,19.2,24.1,30,19.2,24.5,20.2,79,0,0,0,,,,,20.5,139.1,1013.3,44.8,7.1,221.9,19.1,8,,2010-01-10T06:17:28,2010-01-10T17:31:35,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-01-11,28,22,24.4,29.7,22,24.8,20.8,80.6,0,0,0,,,,,16.6,53.3,1014.6,55.2,7.7,209,18.1,8,,2010-01-11T06:17:40,2010-01-11T17:32:11,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-01-12,22.4,18.9,20.8,22.4,18.9,20.8,18.7,88.1,39.803,100,16.67,rain,,,48.2,33.5,11.9,1018.4,82.1,6.7,137.2,12,5,,2010-01-12T06:17:52,2010-01-12T17:32:48,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48855099999,VVDN,48852099999,remote"
