datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,weather
1/1/2010,33.1,22.1,26.6,34.1,22.1,27.4,20.9,74.2,0,0,0,20.2,109.6,1009.2,43.5,9.6,219.5,18.9,8,0.5,Partially cloudy,2
2/1/2010,32,22,27.1,34.9,22,28.7,21,70.7,0,0,0,14,112,1009.8,51.1,9.9,233.6,20.1,8,0.55,Partially cloudy,2
3/1/2010,32.2,24,27.2,36.8,24,28.7,21.9,73.7,0,0,0,16.6,132.2,1010,52.4,9.9,232,20,8,0.58,Partially cloudy,2
4/1/2010,32,23,27.2,33.5,23,27.9,20,66.5,0,0,0,16.6,106.9,1009.6,56.6,10.3,240.7,20.9,8,0.62,Partially cloudy,2
5/1/2010,33,23.1,27.1,36.1,23.1,28.3,21.8,74.5,0,0,0,16.6,117.9,1009.3,40.8,10.3,242,20.9,8,0.65,Partially cloudy,2
6/1/2010,33,23,26.6,34.5,23,27.6,21.3,74.6,0,0,0,20.2,125.4,1010,32.7,10.5,248.6,21.5,9,0.69,Partially cloudy,2
7/1/2010,33,21,26.8,34,21,27.5,20.1,70.5,0,0,0,25.6,112.1,1011.4,38.2,10.2,182.6,15.8,6,0.75,Partially cloudy,2
8/1/2010,32.2,22,26.5,35.4,22,27.5,21.4,75.4,0,0,0,18.4,117.9,1011.7,38.7,10.3,234.5,20.2,9,0.76,Partially cloudy,2
9/1/2010,32,23,26.4,34.9,23,27.6,22,78.4,0,0,0,16.6,116.4,1011.1,51.2,10,191.3,16.5,7,0.79,Partially cloudy,2
10/1/2010,33,22,27,36.1,22,28.2,21.3,72.2,0,0,0,18.4,121.7,1010.8,47.5,10.3,202.2,17.5,7,0.82,Partially cloudy,2
11/1/2010,31,23,26.6,33.7,23,27.6,21.6,75.4,0,0,0,16.6,126,1011.7,37.7,10.3,237.8,20.5,8,0.86,Partially cloudy,2
12/1/2010,32,23,26.2,34.5,23,27.1,21.8,78.5,0,0,0,21.6,114.4,1012.2,44.4,10.3,234.1,20.2,8,0.89,Partially cloudy,2
13/1/2010,32.4,21,25.9,34.1,21,26.5,21,76.8,0,0,0,18.4,131.5,1013.9,51.2,10,220.4,19.1,8,0.93,Partially cloudy,2
14/1/2010,31.2,19,25,31.3,19,25.2,19.1,72.3,0,0,0,17.3,263.2,1015.3,36.5,10,243.8,21,9,0.96,Partially cloudy,2
15/1/2010,31,19,24.8,32.4,19,25.3,20.1,77.5,0,0,0,16.6,165.6,1014.7,42.7,9,216.8,18.6,9,0,Partially cloudy,2
16/1/2010,29.7,21,24.4,30.2,21,24.6,18.2,70.1,0,0,0,16.6,25.4,1014.8,57.3,10,151.8,13.3,6,0.03,Partially cloudy,2
17/1/2010,31,21,25.5,31.4,21,25.9,18.8,68.2,0,0,0,14.8,329.8,1013.9,57.3,10.3,179.7,15.5,6,0.06,Partially cloudy,2
18/1/2010,32,21,25.7,34.1,21,26.4,20.6,75.7,0.9,100,12.5,14.8,280.3,1012.8,51.5,10.1,203.7,17.5,8,0.1,"Rain, Partially cloudy",1
19/1/2010,26.2,22,23,26.2,22,23,22,94.3,21.3,100,100,18.7,348.4,1011,82.5,8.7,76.1,6.6,3,0.13,"Rain, Partially cloudy",1
