datetime,temp,feelslike,dew,humidity,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions
2015-12-01T00:00:00,27.4,30.3,23.0,76.92,6.1,7.0,100.0,1012.0,50.0,10.0,0.0,0.0,0,Partially cloudy
2015-12-01T01:00:00,26.9,29.2,22.2,75.53,6.8,7.7,100.0,1011.3,49.1,10.9,0.0,0.0,0,Partially cloudy
2015-12-01T02:00:00,27.0,29.6,23.0,78.78,8.6,8.6,106.0,1011.0,50.0,10.0,0.0,0.0,0,Partially cloudy
2015-12-01T03:00:00,27.0,29.6,23.0,78.78,7.6,10.4,102.0,1010.0,50.0,10.0,0.0,0.0,0,Partially cloudy
2015-12-01T04:00:00,26.6,26.6,23.1,81.56,6.8,7.7,110.0,1011.0,52.8,10.9,0.0,0.0,0,Partially cloudy
2015-12-01T05:00:00,26.0,26.0,23.0,83.56,6.8,7.6,110.0,1011.0,50.0,10.0,0.0,0.0,0,Partially cloudy
2015-12-01T06:00:00,26.0,26.0,23.0,83.56,6.8,7.7,100.0,1012.0,41.9,10.0,0.0,0.0,0,Partially cloudy
2015-12-01T07:00:00,27.3,31.0,24.4,84.14,11.2,6.0,54.0,1012.1,90.0,11.5,66.6,0.2,1,Partially cloudy
2015-12-01T08:00:00,29.4,34.2,24.0,72.73,15.1,7.7,50.0,1012.0,23.4,10.0,249.2,0.9,2,Partially cloudy
2015-12-01T09:00:00,30.0,34.7,23.6,68.59,16.6,5.9,40.0,1012.0,52.9,10.0,456.3,1.6,5,Partially cloudy
2015-12-01T10:00:00,31.4,36.7,23.7,63.69,32.8,5.1,26.0,1012.3,32.0,10.6,645.5,2.3,6,Partially cloudy
2015-12-01T11:00:00,32.0,36.8,23.0,59.04,32.0,3.9,15.1,1011.0,35.2,10.0,712.9,2.6,7,Partially cloudy
2015-12-01T12:00:00,32.6,38.0,23.4,58.52,31.7,6.7,18.5,1010.0,66.3,10.0,780.9,2.8,8,Partially cloudy
2015-12-01T13:00:00,32.0,37.9,24.0,62.89,31.0,6.7,42.0,1009.3,88.0,10.9,696.5,2.5,7,Partially cloudy
2015-12-01T14:00:00,33.4,40.6,24.6,60.03,28.4,1.5,0.0,1008.0,66.3,10.0,665.2,2.4,7,Partially cloudy
2015-12-01T15:00:00,33.0,37.4,22.4,53.83,24.8,3.9,125.9,1008.0,88.8,10.0,469.1,1.7,5,"Rain, Partially cloudy"
2015-12-01T16:00:00,32.0,37.5,23.7,61.44,22.7,11.5,190.0,1009.1,52.8,10.9,319.3,1.1,3,Partially cloudy
2015-12-01T17:00:00,31.0,36.5,24.0,66.38,22.3,16.2,190.0,1010.0,50.0,9.2,110.7,0.4,1,"Rain, Partially cloudy"
2015-12-01T18:00:00,26.6,26.6,21.0,71.43,10.1,12.3,360.0,1011.0,50.0,6.8,6.7,0.0,0,Partially cloudy
2015-12-01T19:00:00,26.3,26.3,21.6,75.24,5.8,4.7,43.0,1011.1,52.8,9.1,0.0,0.0,0,Partially cloudy
2015-12-01T20:00:00,26.4,26.4,22.0,76.77,7.9,0.7,0.0,1012.0,50.0,8.8,0.0,0.0,0,Partially cloudy
2015-12-01T21:00:00,26.0,26.0,22.4,80.61,7.9,3.6,321.5,1012.0,50.0,10.0,0.0,0.0,0,Partially cloudy
2015-12-01T22:00:00,27.0,29.5,22.8,78.22,6.8,0.0,360.0,1012.2,48.1,10.9,0.0,0.0,0,Partially cloudy
2015-12-01T23:00:00,26.0,26.0,23.0,83.56,7.2,6.7,328.0,1011.0,50.0,9.2,0.0,0.0,0,Partially cloudy
2015-12-02T00:00:00,25.6,25.6,22.6,83.52,7.6,2.9,330.0,1011.0,50.0,6.0,0.0,0.0,0,Partially cloudy
