datetime,temp,feelslike,dew,humidity,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions
2021-01-01T00:00:00,24,24,16,60.93,16.6,12.2,30,1012,50,10,0,0,0,Partially cloudy
2021-01-01T01:00:00,23.6,23.6,16,62.12,14.8,8.9,36,1010.9,54.7,10.2,0,0,0,Partially cloudy
2021-01-01T02:00:00,23,23,16.1,64.99,12.2,9.8,18,1012.5,68.5,9.9,0,0,0,Partially cloudy
2021-01-01T03:00:00,23,23,16,64.72,13.7,7.6,10,1011,66.3,8.8,0,0,0,Partially cloudy
2021-01-01T04:00:00,23.4,23.4,16,63.15,14.8,8.2,8,1011.3,68.5,10.4,0,0,0,Partially cloudy
2021-01-01T05:00:00,24.3,24.3,16.1,60.39,15.1,9.8,36,1013.8,53.7,10.4,0,0,0,Partially cloudy
2021-01-01T06:00:00,25,25,16,57.27,15.1,10.1,34,1012,50,10,0,0,0,Partially cloudy
2021-01-01T07:00:00,23,23,16.1,64.99,14.8,10.8,18,1012.1,88.9,10.9,22.5,0.1,0,Partially cloudy
2021-01-01T08:00:00,23,23,16,64.72,18,7.6,10,1013,88.8,10,127.8,0.5,1,Partially cloudy
2021-01-01T09:00:00,24,24,16,60.93,22.7,7.6,10,1013,88.8,10,297.2,1.1,3,Partially cloudy
2021-01-01T10:00:00,25.9,25.9,16.1,54.86,23.8,10.8,32,1013.2,53.7,10.9,468.8,1.7,5,Partially cloudy
2021-01-01T11:00:00,28,28.3,16,48.09,23.8,11.2,40,1013,50,10,526.4,1.9,5,Partially cloudy
2021-01-01T12:00:00,28,28.3,16,48.09,22.7,11.2,30,1012,88.8,10,498.7,1.8,5,Partially cloudy
2021-01-01T13:00:00,29.7,30.2,17.1,46.78,20.5,13.2,32,1010.3,88.9,10.9,454.3,1.6,5,Partially cloudy
2021-01-01T14:00:00,29,29.1,16,45.37,21.6,18.4,40,1010,88.8,10,503.4,1.8,5,Partially cloudy
2021-01-01T15:00:00,29,29.1,16,45.37,20.9,11.2,60,1009,88.8,10,319.2,1.1,3,Partially cloudy
2021-01-01T16:00:00,27.9,28.5,17.1,51.57,16.6,14.7,50,1010.1,88.9,10.9,221.5,0.8,2,Partially cloudy
2021-01-01T17:00:00,27,27.5,16,50.98,11.2,14.8,10,1010,88.8,10,79.6,0.3,1,Partially cloudy
2021-01-01T18:00:00,27,27.5,16,50.98,8.3,13,10,1011,88.8,10,8.5,0,0,Partially cloudy
2021-01-01T19:00:00,26,26,16.2,55.05,10.8,10.4,34,1011.2,88.9,10.9,0,0,0,Partially cloudy
2021-01-01T20:00:00,26,26,16,54.08,18,13,10,1012,88.8,10,0,0,0,Partially cloudy
2021-01-01T21:00:00,25,25,16,57.39,20.9,14.8,30,1012,88.8,10,0,0,0,Partially cloudy
2021-01-01T22:00:00,24.1,24.1,16.1,61.13,21.6,12.4,16,1012.1,88.9,10.9,0,0,0,Partially cloudy
2021-01-01T23:00:00,24,24,16,60.93,20.2,11.2,10,1012,88.8,10,0,0,0,Partially cloudy
2021-01-02T00:00:00,23,23,16,64.72,17.3,11.2,10,1011,88.8,10,0,0,0,Partially cloudy
2021-01-02T01:00:00,23,23,16,64.65,15.1,10.4,16,1011.2,88,10.9,0,0,0,Partially cloudy
2021-01-02T02:00:00,23,23,16,64.72,15.1,11.2,10,1011,50,10,0,0,0,Partially cloudy
