name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Hồ Chí Minh, Việt Nam",1/1/2019,28,24,26.1,29.6,24,26.6,18.9,64.9,3.1,100,20.83,rain,0,0,35.6,21.1,2.7,1012.2,59.8,10.3,72,6.3,4,,2019-01-01T06:11:22,2019-01-01T17:41:39,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/2/2019,25.4,24,24.7,25.4,24,24.7,21,79.7,16.1,100,70.83,rain,0,0,47.2,16.2,11.1,1011.7,61.5,9.4,52.4,4.5,3,,2019-01-02T06:11:46,2019-01-02T17:42:12,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/3/2019,30.6,23.4,27.1,34.1,23.4,28.9,21.7,72.9,0.1,100,4.17,rain,0,0,59.8,23.1,64.1,1011.9,58.6,10.1,154.4,13.3,6,,2019-01-03T06:12:09,2019-01-03T17:42:45,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/4/2019,34,25.5,29.4,37.9,25.5,31.7,21.8,65.3,0.2,100,8.33,rain,0,0,56.2,29.5,95.3,1012.5,43.4,10.3,209.4,18.2,7,,2019-01-04T06:12:32,2019-01-04T17:43:17,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/5/2019,33.6,25,29.1,35.4,25,30.7,21,63.4,0,0,0,,0,0,30.6,25.5,109.2,1012.3,32.6,10.3,233.9,20.2,8,,2019-01-05T06:12:54,2019-01-05T17:43:50,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/6/2019,34,24,28.8,37.3,24,31,22.1,68.8,0,0,0,,0,0,46.4,19.6,99.6,1012.3,32.9,10.2,225.8,19.3,8,,2019-01-06T06:13:14,2019-01-06T17:44:23,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/7/2019,34.6,23.6,28.8,34.7,23.6,29.6,19.8,61.1,0,0,0,,0,0,25.6,15.8,95,1011.6,19.3,10.3,250.1,21.4,9,,2019-01-07T06:13:34,2019-01-07T17:44:56,0.04,Clear,Clear conditions throughout the day.,clear-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/8/2019,31.4,23.1,27.6,33.5,23.1,28.9,20.9,68,0.5,100,12.5,rain,0,0,23.4,17.7,110.1,1012.1,43.4,10,192.8,16.7,8,,2019-01-08T06:13:54,2019-01-08T17:45:28,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/9/2019,34,23,28.3,35.2,23,29.8,20.6,64.9,0,0,0,,0,0,22.3,15.8,114.6,1012.1,47.7,10.3,225.3,19.4,8,,2019-01-09T06:14:12,2019-01-09T17:46:01,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/10/2019,33.4,24.6,28.8,35.7,24.6,30.1,20.5,62.5,0,0,0,,0,0,31.3,20.1,100.3,1011.4,43,10.3,225,19.4,8,,2019-01-10T06:14:29,2019-01-10T17:46:33,0.14,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/11/2019,33.4,24,28.6,35,24,30,20.3,62.3,0,0,0,,0,0,21.6,14.4,90.7,1011.2,42.1,10.3,203.6,17.6,8,,2019-01-11T06:14:46,2019-01-11T17:47:05,0.17,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/12/2019,33,25.4,28.8,36.4,25.4,30.7,21.7,66.3,0,0,0,,0,0,18,13.3,111.5,1011.1,51.1,10,106.1,9.2,4,,2019-01-12T06:15:01,2019-01-12T17:47:37,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/13/2019,34,24,28.8,36.5,24,30.4,21.7,68.5,0,0,0,,0,0,21.2,12.6,102,1010.6,49.6,9.4,238.8,20.6,8,,2019-01-13T06:15:16,2019-01-13T17:48:08,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/14/2019,32.6,23.5,28.2,35.6,23.5,29.7,20.9,66.1,0,0,0,,0,0,19.8,14.1,240.4,1009.6,32.9,10.1,246.4,21.2,8,,2019-01-14T06:15:30,2019-01-14T17:48:40,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/15/2019,31.9,25,27.7,34.5,25,29.5,22.7,75.7,0.1,100,4.17,rain,0,0,22.3,15.1,202.3,1010,51.8,8.8,189.1,16.2,8,,2019-01-15T06:15:43,2019-01-15T17:49:11,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/16/2019,33.4,25.6,28.8,35.8,25.6,30.5,21.8,67.8,0.1,100,4.17,rain,0,0,31.7,13.4,102,1010.2,42,10,205.3,17.8,8,,2019-01-16T06:15:54,2019-01-16T17:49:41,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/17/2019,33.6,24.4,28.1,36,24.4,29.9,22.5,74.1,0.3,100,4.17,rain,0,0,39.2,14.4,81.9,1010.3,50.9,8.4,216.5,18.7,8,,2019-01-17T06:16:05,2019-01-17T17:50:12,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/18/2019,33.6,23,28,33.9,23,28.6,19.2,61.4,0,0,0,,0,0,26.3,16.2,70.4,1010.7,43.5,10.3,225.4,19.4,8,,2019-01-18T06:16:15,2019-01-18T17:50:42,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/19/2019,33.4,22,27.8,34,22,28.8,19.6,63,0,0,0,,0,0,28.4,14.4,134.3,1010.5,43.8,10.3,243.7,21,9,,2019-01-19T06:16:24,2019-01-19T17:51:11,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/20/2019,32.4,24,27.9,35.4,24,29.4,21.5,69.2,0,0,0,,0,0,31.3,16.6,139.4,1010.5,45.3,9.8,234.6,20.4,9,,2019-01-20T06:16:31,2019-01-20T17:51:40,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
